frame,x [nm],y [nm],intensity [photon]
1,1462.549476,72987.12483,705.1314509
1,2516.815887,30913.20931,1762.987028
1,4084.922941,48128.99472,240.4432643
1,5809.548911,69289.91061,287.459318
1,9554.854854,79350.94967,979.3156163
1,10076.66152,48260.93728,1320.22763
1,10920.9986,2362.836985,718.0794766
1,11943.53803,30576.2847,949.7651504
1,12335.39318,8872.134263,811.1361365
1,12927.93112,54541.09795,357.5870872
1,12974.03795,15606.32377,395.7911673
1,13872.76116,35500.7782,731.3739308
1,14185.70913,56239.71784,365.6443026
1,14733.53704,40413.19073,663.7600473
1,15619.12453,17434.3739,1262.807056
1,15728.51572,59371.93815,579.2442771
1,16126.98483,3947.500973,1162.906536
1,16285.95038,73645.52775,1570.568935
1,16663.46958,56313.44456,286.4897846
1,17625.48663,52501.31663,508.3023103
1,17866.80618,20929.6319,968.5023459
1,19672.48105,34469.94061,754.5826817
1,19942.41629,68243.3643,2671.125975
1,20195.09143,1242.28488,423.2625135
1,20218.83273,50162.73633,277.8849124
1,20359.17283,28226.58625,476.53981
1,20495.6732,24881.84735,1308.83633
1,20903.36488,27501.37332,357.283771
1,20945.94182,70274.80625,784.7166836
1,21494.00122,67263.43849,535.4352217
1,21948.46759,8868.652012,764.1265989
1,22302.79079,63200.25954,1906.832581
1,22578.0509,47555.10659,257.8335311
1,22594.12539,56343.21471,1299.494686
1,22576.61352,64680.44332,300.8868663
1,24500.89227,6282.552386,453.100282
1,24767.69265,58823.3751,241.7325205
1,25059.90263,57497.42282,805.0046135
1,25822.79163,79864.78753,393.9466705
1,28114.35057,67474.41127,836.9145602
1,28141.15392,78778.51797,386.9259624
1,28932.90675,60030.05086,811.8015238
1,29203.45179,21794.93171,352.2954672
1,29223.1044,68012.86492,216.6658927
1,30181.84248,31901.56,355.857716
1,30292.26725,36643.94999,242.1314376
1,30776.84518,43780.82201,458.2710638
1,31590.99902,10220.68556,375.7515485
1,31765.32827,68566.4081,376.2705619
1,32447.23711,48290.41974,944.3720859
1,33241.58394,28470.85668,765.0595609
1,34627.52976,36604.36425,892.7125449
1,35439.78065,27781.5678,344.3893194
1,35927.06525,30259.52098,520.6200742
1,36050.55767,61820.33294,463.963364
1,36146.9199,32740.216,394.1198165
1,36404.60708,5691.713273,542.3858355
1,36808.14543,22547.98725,1112.864117
1,37186.1248,49146.46521,394.7820807
1,37708.42276,4802.290349,422.1683035
1,37912.34548,29563.24842,289.636063
1,37992.50787,66133.1923,414.4913678
