"frame","x [nm]","y [nm]","intensity [photon]"
1.0,1356.5967995982344,17717.766454807956,50498.84598203487
1.0,2939.0537506203214,59826.988871807356,60075.23480700793
1.0,4318.833251488473,39305.1684687123,101106.33581717471
1.0,4706.66914818552,79040.57266928774,45690.760553942055
1.0,5763.1622909779035,33334.584511276706,50440.82330320698
1.0,5664.766233850125,67195.37247665461,70240.83303823485
1.0,6644.764442736145,75726.19659000033,83061.7948504334
1.0,7459.16844629123,1498.8932370803304,52890.54801823242
1.0,8293.002212996349,51017.651793624296,47522.73953219956
1.0,9057.221224872112,47880.85836179484,50800.65769805389
1.0,9204.748526899273,1566.611099607624,68303.44980492798
1.0,9237.418570576998,28828.968741764278,55460.52176800495
1.0,11025.478559008745,46226.235574689905,58839.581691189924
1.0,12142.816879319267,58543.64805685971,90749.08432253335
1.0,13764.545524887439,52556.73220534996,475193.3751556155
1.0,14167.218474322453,56742.29867825485,824935.5633648983
1.0,14528.484106884012,76495.48855518101,133567.62794405746
1.0,17450.0571573231,37848.193719638846,75169.64043554458
1.0,18389.091813343675,51515.48631290841,202131.56424827292
1.0,21268.465438702362,51540.02771949008,68238.63734073166
1.0,21697.577770042615,16207.477458787744,91663.23172935222
1.0,22608.715714827566,62513.12587351311,58641.69451842588
1.0,22829.32660214291,30053.03362577792,264967.6587256334
1.0,23675.57291826363,21698.974568247948,169653.8400084304
1.0,24302.144981300014,42031.9662920364,86514.0633031256
1.0,24367.067810451852,18059.68488078475,131911.54034961815
1.0,24866.0131841535,64045.94727548164,46577.80748407254
1.0,25260.206816613394,34888.92487778393,238243.98105321536
1.0,27084.543795107933,43200.28833178817,239057.8939142625
1.0,27524.22313673935,28761.65266394493,76805.84361881214
1.0,28532.618926878207,23693.13282963753,282219.214157505
1.0,29377.60445475726,24875.174657269214,488546.13650324877
1.0,30794.142396254425,44366.939648918,34371.43706285149
1.0,32745.725770083776,15672.82865965634,92416.78903370423
1.0,33609.63779985773,73308.85508310769,61722.44931991018
1.0,34869.90476821716,78611.36736113012,375785.8606747339
1.0,35373.5971551698,47902.96634056231,32435.775584298135
1.0,36206.264712284654,81271.82376756064,163920.77206083544
1.0,36697.10939394266,23519.34123254166,63408.44142706877
1.0,39077.12788361704,73209.7839225673,49962.428407221036
1.0,42042.308511231655,1194.81697499736,76761.47650518043
1.0,42473.9755352681,42132.37935174596,242021.98445815165
1.0,43844.095212018,54313.12694490157,557852.6506024739
1.0,43982.306534667165,34775.91460604508,872593.0955282713
1.0,43890.29724962423,45344.34888885436,84621.18898632585
1.0,44231.90508872586,40082.84865475136,71392.95676524246
1.0,44772.28571735398,81368.99105895254,41248.34467188758
1.0,47191.031488588196,16359.245846902242,301157.7092831602
1.0,47213.736611196706,62990.90040587489,541541.9358395479
1.0,48097.44498816655,79334.58140048721,69790.27472375671
1.0,48368.04616285206,55635.97914351647,49269.635687373906
1.0,48403.1468528592,61694.4461663993,68817.80215573948
1.0,49012.66208322643,11216.28666064097,55271.58990602091
1.0,52427.76102204631,80225.46669921723,144688.94748151884
1.0,53696.638884979715,23146.889701652435,104627.55566139848
1.0,60222.67603772396,56838.59454839171,173592.01408891013
1.0,60870.63588191812,65821.6358490035,79075.60964892426
1.0,63819.33789319782,54411.24822151311,59114.82582188862
1.0,64866.777576763954,30446.181062486765,62158.42635446642
1.0,65062.444418318744,74874.39908242815,55336.451191633685
1.0,68297.65310012577,54087.21476872033,908689.6580179249
