frame,x [nm],y [nm],intensity [photon],Rough_label,Final_label
1.0,1159.8416475868376,42717.53216896421,77660.45660084915,-1,-1.0
1.0,3979.867186599588,16787.444698304156,60564.563968354654,-1,-1.0
1.0,13435.5886833501,58254.16514463305,179824.2064864124,19,-1.0
1.0,14679.917207624056,29925.682446759176,216217.7744902655,-1,-1.0
1.0,16414.46239912768,68540.44872424181,374177.5110271924,19,-1.0
1.0,17508.694952902868,71576.5348783701,91298.19600909726,19,-1.0
1.0,20592.39720869739,14364.909027410593,80360.82743474157,6,-1.0
1.0,22589.800612743624,24910.31669216628,85407.38356225676,-1,-1.0
1.0,27554.99066698241,77280.8130125534,69829.5858156327,-1,-1.0
1.0,28375.703924713707,54137.12513741871,99589.29416571,-1,-1.0
1.0,28843.16225447543,23906.45035719943,495393.0122683151,8,-1.0
1.0,30395.075335751026,40326.60233019114,56595.34452129606,14,-1.0
1.0,33314.274239521226,62703.4148057283,88369.10374136434,-1,-1.0
1.0,35762.36279582495,45314.966920339546,60490.95760547499,14,-1.0
1.0,35964.278967616905,33467.116447764456,72473.72660563205,-1,-1.0
1.0,36378.881618979016,49782.79225855894,496487.94528377295,14,-1.0
1.0,37731.36019424003,60878.81472457309,64162.30677040344,-1,-1.0
1.0,38376.21772478053,41476.908607492005,69241.21566520604,-1,-1.0
1.0,39290.13333672624,32960.015017305974,127009.10203381332,-1,-1.0
1.0,39529.08819126241,75573.10500514973,140435.1489003925,10,-1.0
1.0,41590.74325929538,10190.826622368966,51565.96657024988,-1,-1.0
1.0,41920.86555046534,43337.40507338823,54478.96838431089,-1,-1.0
1.0,46916.95708258703,45188.013784678114,56360.226704282206,12,-1.0
1.0,48315.45307747126,62944.75047546828,56873.33695269201,12,-1.0
1.0,49039.74556848326,40126.575023649646,127325.56077176344,-1,-1.0
1.0,51867.90446033984,16225.488622257568,83544.80233446584,-1,-1.0
1.0,53718.066356200885,24569.767990508364,65385.12543073063,-1,-1.0
1.0,56850.425844090285,45124.97863294226,61532.574315832826,-1,-1.0
1.0,58732.80075504822,51456.045062397214,97112.14145325174,-1,-1.0
1.0,60218.865325135775,66433.39144932931,61075.23762293504,-1,-1.0
1.0,62670.32004924079,60013.85689496823,42951.54219716431,-1,-1.0
1.0,62840.68154361682,75639.35133208851,58036.90348151674,-1,-1.0
1.0,64171.65388137808,12963.3658768542,57954.61378822263,0,-1.0
1.0,72425.97542807079,54688.81702507992,374620.7617844493,-1,-1.0
1.0,75535.95338167509,60794.943825787646,208967.602401206,11,-1.0
1.0,75555.67694096838,78070.9235665077,274081.3656185013,11,-1.0
1.0,76275.13526676915,35184.56242767847,58881.542577424254,3,-1.0
1.0,76700.23678169516,58210.99715517031,60283.14275620865,-1,-1.0
1.0,80540.77731540344,3507.796375525419,70985.885615197,-1,-1.0
2.0,7443.812230906831,46615.22546989399,87297.06005478812,-1,-1.0
2.0,11689.653044444698,2311.7749098764325,181980.2305960804,5,-1.0
2.0,12352.652145110722,44232.949019893385,54714.59850039834,-1,-1.0
2.0,13548.30949528268,49134.24544277415,284428.9951120345,-1,-1.0
2.0,14007.005451593504,76501.20384172419,121186.22610460351,19,-1.0
2.0,17074.910785037675,68418.52986186928,152482.43171980567,19,-1.0
2.0,17659.722325916526,69072.002286746,180911.8162374916,19,-1.0
2.0,18274.736447024723,36934.54792638888,84262.2876862983,13,-1.0
2.0,18846.04801954195,49799.05079464071,86902.0295175827,-1,-1.0
2.0,21673.38808375962,29956.87935599215,62013.274611031055,13,-1.0
2.0,22425.543533602697,28964.348214109177,50712.43379810752,-1,-1.0
2.0,22766.94805454306,35169.5959957433,70509.50436750255,13,-1.0
2.0,23315.710533104284,36322.04608877362,93475.1699247312,-1,-1.0
2.0,24765.769909506216,33083.61330096185,56436.28945846512,-1,-1.0
2.0,24758.278398748756,67830.36798740219,60853.31741055596,19,-1.0
2.0,24838.247263840967,80589.5821192138,118129.14282113404,-1,-1.0
2.0,25276.792618162424,47068.58250490365,56211.15511846992,14,-1.0
2.0,25443.73355338204,32678.93590580314,53538.8624016359,-1,-1.0
2.0,27712.28972398676,27773.30110791368,81101.9587941333,8,-1.0
2.0,28549.77559431077,27744.683719907545,100205.72770944926,8,-1.0
2.0,28569.738540406084,60671.90344967668,51107.40076962018,-1,-1.0
2.0,29598.088858856605,23855.68715875206,185277.23150669792,8,-1.0
2.0,31662.360980490703,37747.97527219942,360199.3967557969,-1,-1.0
2.0,32144.280939898017,75426.46948411147,156753.03762564893,-1,-1.0
2.0,32732.378659168862,35017.63955199844,61780.0722543328,-1,-1.0
2.0,33649.028233991565,65645.06818370029,56286.80255342957,-1,-1.0
2.0,35071.95597472753,50106.41350101719,69811.93583020783,14,-1.0
2.0,37039.59047254058,49719.66012818731,330324.7406703352,14,-1.0
2.0,38702.00940675484,33536.48176875967,57701.23556837188,-1,-1.0
2.0,40140.66434949836,11072.53811835216,81388.24642808789,-1,-1.0
2.0,46239.61768584223,51346.45505506142,81526.50183629892,-1,-1.0
2.0,47488.82619130708,64333.10078493316,57711.41974673455,12,-1.0
2.0,47801.41998546351,75023.4519191961,61077.00381509864,10,-1.0
2.0,48582.964171333406,44794.06674702684,71318.22737049694,-1,-1.0
2.0,49560.33356748547,33760.7300281312,66252.11127395803,-1,-1.0
2.0,50583.68921045936,35914.272019390264,536718.8819569354,-1,-1.0
2.0,50451.304977035325,78634.03466794547,103668.85251684434,9,-1.0
2.0,52667.22279652559,25327.06145445562,56391.8425848886,-1,-1.0
2.0,53153.10621836506,1452.570944549051,59444.5912182136,-1,-1.0
2.0,53417.81565528406,45011.05284282199,57178.3311170256,-1,-1.0
2.0,53703.22158706284,48073.59798033533,46877.39869981617,-1,-1.0
2.0,54397.13335235167,37251.88093237725,64404.798154768905,-1,-1.0
2.0,55797.59937642298,66339.43412217245,83297.80949354495,-1,-1.0
2.0,55953.712088699394,45553.15752992241,66915.7093370922,-1,-1.0
2.0,56236.93414795009,55621.25012766266,175508.65293239264,-1,-1.0
2.0,61148.78770973424,72859.294007827,91397.61641574178,-1,-1.0
2.0,61569.834756802346,29578.041912206096,117808.58235705644,-1,-1.0
2.0,62754.497518613134,47575.62202518999,174707.78025891192,-1,-1.0
2.0,66409.85150212352,63157.86135782782,79633.87399588167,-1,-1.0
2.0,67468.40473203783,5593.188460917054,640457.6703347068,0,-1.0
2.0,68152.55196876613,73833.84192563345,367563.74608512,11,-1.0
2.0,71687.41245594462,74382.83724919251,57319.40943943357,11,-1.0
2.0,73098.31602992579,54587.71666601567,442542.555224869,-1,-1.0
2.0,73300.88159159035,48483.00558429014,188329.253421285,3,-1.0
2.0,76546.304527182,23398.10857785375,59469.76872529104,-1,-1.0
2.0,76892.28214834978,35052.931416995125,147965.16386812762,3,-1.0
2.0,81321.8036741912,36680.35752020039,57791.90758785857,-1,-1.0
3.0,849.3134362476584,81149.75329918634,304028.5405941076,-1,-1.0
3.0,4091.883950738428,75520.63951236075,53106.114738538585,19,-1.0
3.0,4515.031383874595,28179.27807197528,71760.16961831662,-1,-1.0
3.0,4941.578677630456,73713.4068801614,48256.93054316317,19,-1.0
3.0,6308.505643822224,41100.51924888358,79737.05681746708,-1,-1.0
3.0,9588.961894483513,25232.167667826256,60091.019161768825,-1,-1.0
3.0,9870.80463788052,74901.38219324478,45488.11236644304,19,-1.0
3.0,14178.476074205284,52208.88036693701,43083.42732250384,-1,-1.0
3.0,14681.715553609294,64974.490818849335,194343.4592297278,19,-1.0
3.0,14895.729124204508,71289.42241175118,342022.8607269461,19,-1.0
3.0,17295.82684684919,46534.41418202292,113666.4225182735,-1,-1.0
