frame,x,y
1,62744.19134,40266.18588
1,64943.9142,41767.60134
4,64975.43282,41740.36955
5,63473.26131,40085.05306
5,65985.4989,40541.24446
7,65878.03324,41047.58938
9,63968.43537,40546.83367
9,64688.89471,41313.1647
10,63990.92033,40713.88754
11,65828.19489,40970.38476
14,64483.41055,41138.83661
15,64054.66059,40666.95099
18,64099.56085,41000.98077
19,62553.56141,40432.64973
21,64925.10935,41486.74741
23,64036.10438,40789.60279
26,65122.02727,41339.27224
27,64068.24718,40696.83084
28,63998.47202,40715.44849
28,66148.56235,42881.01303
29,64561.52536,41165.40006
29,65842.72956,42339.46313
30,65295.35829,41950.32303
31,62132.91467,40070.75481
31,64232.94847,41054.73863
31,65613.22382,42275.2407
32,63995.17032,41751.52554
32,65940.02657,42290.89309
33,64677.3871,41176.5599
34,63848.6833,40050.58017
36,64540.01914,41638.33457
36,65485.86149,42333.58746
37,61560.80485,39960.27189
38,64600.6095,41235.71589
39,60993.80845,39867.1125
40,64604.26171,41409.67773
41,63918.93638,41009.46307
41,65429.0464,41170.89386
42,64021.37898,40768.47209
43,63416.36296,40580.13822
44,62417.93909,40386.76166
44,65003.31867,41711.67858
47,63718.89948,40221.5987
47,68424.2181,39683.01136
48,64258.87704,41441.56865
49,65359.58366,41212.55376
52,64819.77687,41206.18762
52,68720.26709,40965.22644
53,61095.84844,40258.92511
53,64650.00056,41489.0008
54,60968.94356,40327.97109
54,63637.83719,40024.3384
54,64468.75184,41078.39356
54,65055.55843,41390.37332
54,67032.37423,43979.6467
55,63859.53181,40060.81236
55,65096.42469,41288.96533
55,67416.45855,40713.46736
55,68034.71632,39816.89039
57,68761.91065,41380.04979
58,60457.14617,40575.01139
58,63684.0397,40443.3531
58,64305.59786,41124.55669
58,64711.03439,41082.38123
58,66530.75795,42014.25918
58,68481.70275,40997.2776
59,64447.15567,41142.81044
60,63737.55694,40535.22343
60,64647.66438,41212.96651
60,66864.49702,43280.32939
61,63853.28382,40135.5392
61,66521.12087,41838.414
62,64497.83461,41159.6239
62,66420.73244,42105.19292
62,68305.24765,41383.46247
63,66546.44924,41999.14174
64,64867.14416,40518.75286
64,66058.29248,41096.80578
64,66500.8975,41998.42563
64,67702.16529,40898.68948
65,61281.3523,40532.83429
65,65245.8516,41900.23195
65,66657.70967,42381.51659
65,68604.14834,41127.30159
66,66597.05083,42027.05529
66,67539.56488,41990.09839
67,63385.21746,40552.97252
67,65079.26709,42416.89223
67,66606.60632,42097.71651
68,66532.38303,42078.09083
69,64129.13483,39167.56037
69,64950.43997,41244.17492
69,66647.04544,42125.48313
69,67895.4755,40173.4667
70,63879.29629,40151.89706
70,68060.27523,39445.61917
70,68311.34728,41366.69245
71,66147.47177,41064.28623
71,66714.6229,42693.58979
72,63849.67514,39713.94084
73,63876.38504,39743.01684
73,63916.91444,40867.36492
73,66555.2245,40947.39361
73,66768.03775,43323.45026
73,67535.04119,41596.16199
74,60856.41531,41200.66706
74,63991.77451,39781.83753
74,65892.862,42225.63567
74,66339.95974,41059.14661
74,68178.45664,41811.97906
74,69133.15489,41138.77152
75,63743.42752,41038.01411
75,63856.78452,39787.84368
75,67049.88972,41531.65245
76,59574.70361,41267.70941
76,60730.13251,40010.60072
76,63768.6585,40868.1468
76,63865.73724,39804.1161
76,65352.13464,41955.40049
76,67728.21064,42241.49194
77,61584.47788,40407.61943
77,63090.05398,41420.55259
77,63878.65078,39788.67993
78,61242.95026,40714.59875
78,63922.82306,39813.39921
78,64834.99889,41365.38316
78,65821.49336,41816.85443
79,61002.00478,40639.97549
79,61196.59818,39584.39329
79,63840.76539,39775.74416
79,66025.43916,42400.96875
80,63861.43842,39790.58516
80,68670.12658,41106.83103
81,63873.4553,39726.74132
84,60172.41532,41253.68506
84,64093.40552,39414.34577
84,67401.86762,41359.67964
85,64735.08064,41238.67936
85,65040.95971,41540.3381
85,66105.67819,41137.22881
86,64273.05852,41030.4503
86,66139.84475,41200.14366
87,63720.23787,40649.95229
88,64743.56443,41278.95531
88,66408.52396,41223.99545
90,64464.77171,41126.27221
90,65715.36337,41767.995
90,70593.62586,41288.35605
91,65035.438,41394.65991
91,67163.37028,41018.27163
91,69804.08857,41937.58124
92,63763.07586,40715.52048
92,64406.90675,40057.21662
92,69738.41118,41869.29996
93,66856.45079,41372.15986
93,69694.86207,41874.09235
94,65275.50092,41176.80896
94,69705.06876,41802.84064
