frame,x,y
82.0,29906.343669704467,-36163.6943029078
74.0,28568.979561279484,-37256.840839495
26.0,31451.155586007797,-33547.201432602335
57.0,29382.42382707176,-36849.85013709085
1.0,30412.677130092477,-35349.99990166695
6.0,30823.650377130165,-33400.479741323936
7.0,30913.23979116686,-33513.00168384956
7.0,30855.04588451674,-33489.19075364706
8.0,30904.280672041437,-33584.01009779739
8.0,30948.69808443779,-33536.79105344849
8.0,30776.50240353296,-33527.02332896431
12.0,30757.18718686495,-33600.1115481251
13.0,30668.9656213713,-33586.58006840719
15.0,30666.75221466569,-33702.79985547828
17.0,30727.957635434734,-33768.368473259245
18.0,30692.95422370013,-33872.103791016605
18.0,30672.890117932187,-33816.009410326435
19.0,30679.23920055217,-33955.85554839204
19.0,30742.89399568749,-33842.88060518033
20.0,30637.02075001318,-34011.054622004944
21.0,30645.431306671107,-34096.41793112392
23.0,30547.065383196747,-34165.17238101433
23.0,30557.90619307975,-34202.62127512447
24.0,30503.15951737247,-34276.60561596464
24.0,30425.6781693544,-34200.91715132849
25.0,30424.21075367757,-34246.92588870397
26.0,30470.96236036074,-34278.88393815088
26.0,30422.413847775697,-34352.298359869805
26.0,30347.40656133741,-34332.70968571728
27.0,30344.23066003693,-34407.694235871066
28.0,30319.408374478742,-34495.60081258457
28.0,30249.91444440621,-34469.51926932802
28.0,30381.20583108041,-34510.266072419385
29.0,30354.82560243797,-34607.659844817244
33.0,30301.236245852124,-34724.57562640407
33.0,30333.59270101035,-34729.62506886551
34.0,30384.16105932848,-34766.57290082241
36.0,30405.859162026485,-34846.983716952294
37.0,30319.391685139235,-34865.715805290696
37.0,30344.929820100355,-34780.61962130251
38.0,30303.309457082065,-34940.74535043931
42.0,30393.429903747598,-35025.27591142484
42.0,30364.49303957647,-34989.290830100865
43.0,30299.21770774241,-35090.70572241364
44.0,30337.40468267504,-35150.46278175012
44.0,30204.9274969322,-35157.26988368606
44.0,30244.76621388732,-35173.09703675388
45.0,30244.023227322454,-35213.98882639203
48.0,30316.46871527712,-35289.82299669896
48.0,30242.56322228819,-35289.48984365453
49.0,30298.228862535638,-35372.20569828338
51.0,30274.950333394085,-35484.63218196593
52.0,30215.82381319373,-35585.27868521131
53.0,30099.47886556985,-35606.702095808265
54.0,30116.40575869673,-35712.624641788425
55.0,30088.575528354864,-35829.916266307
56.0,30160.7231915707,-35909.46089807193
58.0,30185.25089807126,-35988.705728768895
58.0,30159.907375114533,-35974.73005681856
60.0,30129.38083208644,-36079.64336709446
61.0,30187.48261979356,-36142.97034974017
62.0,30172.235881152457,-36257.69133319268
63.0,30054.463556954728,-36279.90642882605
63.0,30133.60911328565,-36345.267071972834
63.0,30234.164456127997,-36418.24444426715
64.0,30059.73345558747,-36353.8211454583
64.0,30080.617158427754,-36423.59494488296
66.0,29985.541415201267,-36472.2728890778
67.0,29924.659301923628,-36590.555278771535
69.0,29836.89120171147,-36693.90758809458
70.0,29785.711419295203,-36778.25877314575
73.0,29768.91695397628,-36916.540895609214
73.0,29685.136757600947,-36770.86003205994
74.0,29629.571152259145,-36907.65951900138
74.0,29645.71015651447,-36885.04237259979
76.0,29534.953150113477,-36869.97729813631
76.0,29640.926995682665,-36996.8442615386
76.0,29646.75174021795,-37022.28428908996
77.0,29544.76827683868,-37011.92083021264
78.0,29611.6178566084,-37057.997637100605
78.0,29565.797132399533,-37074.23545800599
79.0,29525.767020744934,-37137.48623655384
82.0,29473.980416855964,-37216.93735710304
83.0,29418.987077713584,-37258.97012080524
83.0,29375.62539637256,-37260.76032235051
84.0,29372.970181504705,-37344.93791542792
87.0,29372.627818499783,-37425.05311042796
89.0,29317.578471383247,-37502.48226896078
90.0,29216.15115404713,-37431.88842714236
90.0,29254.798940795637,-37547.33870817545
90.0,29221.6040508504,-37509.48694634887
91.0,29179.43277998438,-37541.581994500935
91.0,29136.914396810454,-37538.01529069228
93.0,29053.05286290742,-37574.24687356209
94.0,29014.110809070287,-37688.4720537435
94.0,28952.62054941393,-37612.56032912728
95.0,28936.788121150395,-37774.04769788017
95.0,29043.81010220308,-37725.99172158147
96.0,28957.10460923678,-37851.05032487389
96.0,29030.81518489832,-37810.21228695995
96.0,28998.559472553072,-37859.56829782784
96.0,28948.714810704685,-37865.67224380421
97.0,28918.57768517273,-37871.63323060885
101.0,28850.09509862252,-37961.08504729928
102.0,28903.48889616288,-38025.17466794809
102.0,28862.47200736813,-38049.50384543168
103.0,28829.002247251115,-38118.84678882272
103.0,28997.05708028052,-38051.80414620772
103.0,28855.285938591,-38102.08023930477
105.0,28902.465360541013,-38200.73433202434
107.0,28881.99622283523,-38307.468844808594
107.0,28896.41017717637,-38317.440118888655
107.0,28922.1163266032,-38307.80819433302
108.0,28878.546420816157,-38397.39579713565
109.0,28792.661768783477,-38483.039399769295
109.0,28870.050678253705,-38515.20382936055
110.0,28822.350903129165,-38620.254015064624
110.0,28804.41882914652,-38587.91571219857
111.0,28844.114654860783,-38651.30037435262
111.0,28832.187808388662,-38697.113917548784
111.0,28853.380296549447,-38704.47309943707
112.0,28836.329928036183,-38760.18949255748
112.0,28745.621669616707,-38731.32088547125
113.0,28751.92842353315,-38822.941036099386
114.0,28671.56437042803,-38881.71325567812
115.0,28574.17920864372,-38933.864901132576
117.0,28465.08737472052,-38930.56286036503
118.0,28465.768473776705,-39054.41799326449
119.0,28386.617704607856,-39107.971440502486
119.0,28409.944914562213,-39189.02138100347
119.0,28410.37160080637,-39074.12921775762
119.0,28427.230260271357,-39104.56566840874
121.0,28364.79638818062,-39221.6004501339
122.0,28278.72417941801,-39231.358319013976
122.0,28270.548530850003,-39296.119380540185
81.0,28142.90020258845,-38661.76939428502
129.0,28120.91278566986,-39144.71768214053
87.0,28912.28284342971,-37664.91568089484
157.0,29008.41194985286,-38474.26143646344
157.0,28532.14936596989,-39558.81113175579
