frame,x,y
63.0,32401.501531632777,37274.26257676305
63.0,32047.25230320973,36143.93050724624
64.0,32285.99013485553,37481.84881783162
64.0,31796.426958772536,36033.12777880827
65.0,32118.36639742525,36970.90680325512
65.0,31728.069829823933,36941.091047025504
65.0,33145.85342039736,38419.19794593028
65.0,31295.17019027616,36196.07258152386
66.0,32685.80011013998,36498.80705792381
66.0,31991.9454096118,36174.478857153634
66.0,33004.26048489239,37643.21859752444
66.0,32062.324076550474,36800.634606932974
66.0,32381.488032626094,38225.870373931786
66.0,32259.619180012654,37660.615314546034
66.0,32698.043538641417,39439.84592434075
66.0,31064.19014381549,35879.7595881556
67.0,31909.90189260177,37712.715005718346
67.0,32191.31287622382,36509.73468049767
67.0,32805.98250960102,37221.178414484064
67.0,32284.490793292032,35933.70907116796
68.0,32211.040256303237,37729.89086177319
68.0,31273.472766027397,36345.76968485609
68.0,30719.57207965557,38286.83599873208
68.0,30822.00193122803,35879.42089130899
68.0,32146.476714379594,38221.148342342254
68.0,32635.038438134896,37969.4677089469
68.0,32310.09527009555,37629.2028006667
68.0,31984.900400320057,37342.5166713197
68.0,33810.47002274163,37214.81485184358
68.0,31829.7017032765,36339.77941359219
68.0,32776.6357638469,36583.251556586365
68.0,31006.71163477015,35962.63371946068
68.0,33543.40739443361,39604.33941379941
68.0,32625.145638817303,37486.926700922864
68.0,32317.1042612917,37148.77826407498
69.0,31955.04864934245,38018.1487957318
69.0,31943.927390269928,35840.05980104708
69.0,31655.711700570875,37462.10783351309
69.0,31254.30118789155,36756.02737263907
69.0,31114.613979428213,38544.01019019429
69.0,30757.29809087455,35492.72916377143
69.0,32257.620479114696,39009.64002966755
69.0,32608.086363655857,36876.69912936296
69.0,32690.999137953426,38624.82744670361
69.0,32612.93049983025,36294.743663355126
69.0,33950.37735548741,37019.66344735528
69.0,31594.89487038247,35185.247404522626
69.0,32587.63507954379,35573.40030862229
70.0,32834.63370130153,37032.18878457804
70.0,32430.39929525128,38110.16947783636
70.0,32034.65024266579,36762.22577459978
70.0,33631.36448036442,36449.55018722684
70.0,31003.530464063628,36297.05940524086
71.0,32419.17758728501,36336.49099412578
71.0,32457.96224650273,36857.1477153173
71.0,31200.68759483757,35529.87765107495
71.0,34411.7856103602,39422.63771305614
71.0,33232.81893248054,38575.33993328347
71.0,32555.173787262236,36893.53390001204
71.0,32361.83205701817,39137.52910744064
71.0,31640.3404326814,35535.03799806827
71.0,31625.565437064204,37883.93489096497
71.0,30630.43331221552,36422.773536598776
71.0,30644.716678453435,38870.12618382469
